Label	$E_a$	$\varepsilon_{d_{sk\uparrow}}$	$\varepsilon_{d_{sk\downarrow}}$	$\varepsilon_{d_{k\uparrow}}$	$\varepsilon_{d_{k\downarrow}}$	$\varepsilon_{d_{c\uparrow}}$	$\varepsilon_{d_{c\downarrow}}$	$\varepsilon_{d_{w\uparrow}}$	$\varepsilon_{d_{w\downarrow}}$	$\varepsilon_{d_{f\uparrow}}$	$\varepsilon_{d_{f\downarrow}}$	$\Delta$E	$R_d$	$\chi_P$	EA	$IP^{1st}$	$V_e$	$CN_{oxides}$	$BE_{M-O}$	$d_{MC}$	$d_{MM}$	$CN_C$	$CN_M$	$CN_{total}$
#1	2.340	0.346	0.344	5.137	5.139	-4.700	-4.701	1.861	1.861	0.954	0.954	-0.660	174.000	2.540	222.800	890.100	11.000	6.000	84.900	2.096	2.835	3.000	5.000	8.000
#2	1.880	0.305	0.310	5.911	5.905	-4.334	-4.331	1.679	1.676	0.961	0.961	-0.060	174.000	2.540	222.800	890.100	11.000	6.000	84.900	2.137	2.787	2.000	6.000	8.000
#3	2.500	0.307	0.318	5.215	5.214	-4.765	-4.757	1.859	1.854	0.957	0.955	-0.660	174.000	2.540	222.800	890.100	11.000	6.000	84.900	2.080	2.855	3.000	5.000	8.000
#4	0.970	-1.526	-1.525	8.706	8.669	-1.597	-1.538	1.705	1.708	0.826	0.811	-0.250	152.000	1.880	63.700	760.400	9.000	9.000	780.000	1.893	2.553	2.000	5.000	7.000
#5	1.940	-1.486	-1.772	9.195	9.680	-1.708	-1.152	1.612	1.716	0.875	0.758	-1.020	152.000	1.880	63.700	760.400	9.000	9.000	780.000	1.895	2.509	3.000	5.000	8.000
#6	0.990	-1.585	-1.691	7.371	7.507	-0.955	-0.632	2.030	2.129	0.607	0.514	-1.990	166.000	1.660	64.300	652.900	6.000	6.000	576.600	1.946	2.535	2.000	6.000	8.000
#7	1.600	-1.420	-1.730	6.744	7.075	-1.194	-0.368	2.035	2.294	0.685	0.433	-0.630	166.000	1.660	64.300	652.900	6.000	6.000	576.600	1.975	2.630	3.000	5.000	8.000
#8	1.340	-1.429	-1.922	7.671	8.355	-1.132	0.076	1.809	2.191	0.718	0.363	-1.370	166.000	1.660	64.300	652.900	6.000	6.000	576.600	1.961	2.516	2.000	6.000	8.000
#9	1.440	-1.566	-1.972	8.119	8.579	-1.113	-0.042	1.833	2.203	0.698	0.389	-0.830	166.000	1.660	64.300	652.900	6.000	6.000	576.600	1.948	2.562	2.000	6.000	8.000
#10	1.460	-1.494	-1.665	6.631	6.703	-1.207	-0.589	2.146	2.357	0.665	0.479	-1.350	166.000	1.660	64.300	652.900	6.000	6.000	576.600	1.883	2.664	3.000	5.000	8.000
#11	1.160	-1.167	-1.758	7.333	8.374	-2.074	-0.815	1.742	1.975	0.867	0.576	-2.010	156.000	1.830	15.700	762.500	8.000	8.000	711.000	1.894	2.529	2.000	5.000	7.000
#12	1.900	-1.112	-1.684	6.828	7.626	-2.132	-0.881	1.795	2.075	0.872	0.581	-1.030	156.000	1.830	15.700	762.500	8.000	8.000	711.000	1.891	2.621	3.000	5.000	8.000
#13	0.800	-1.905	-1.905	8.081	8.036	-0.253	-0.166	2.302	2.332	0.434	0.404	-2.470	176.000	1.540	7.600	658.800	4.000	6.000	458.500	2.064	2.663	2.000	5.000	7.000
#14	0.700	-1.816	-1.817	7.194	7.200	-0.273	-0.264	2.420	2.420	0.410	0.409	-1.000	176.000	1.540	7.600	658.800	4.000	6.000	458.500	2.065	2.796	3.000	5.000	8.000
#15	1.020	-1.952	-1.954	8.354	8.351	-0.043	-0.029	2.276	2.276	0.373	0.370	-1.500	176.000	1.540	7.600	658.800	4.000	6.000	458.500	2.064	2.662	2.000	6.000	8.000
#16	1.200	-2.064	-2.063	8.838	8.835	-0.011	0.001	2.300	2.303	0.377	0.373	-1.130	176.000	1.540	7.600	658.800	4.000	6.000	458.500	2.049	2.734	2.000	4.000	6.000
#17	1.230	-1.868	-1.872	7.349	7.372	-0.242	-0.221	2.478	2.477	0.407	0.404	-1.660	176.000	1.540	7.600	658.800	4.000	6.000	458.500	2.060	2.821	3.000	5.000	8.000
